original,wind_speed,wind_dir,unit,timestamp_str,timestamp_obj
METAR VASD 261600Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261600,2025-12-26 21:48:48.180718
METAR VASD 261600Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261600,2025-12-26 21:51:07.743738
METAR VASD 261600Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261600,2025-12-26 21:58:48.879075
METAR VASD 261630Z 06004KT 3000 FU NSC 19/07 Q1016 NOSIG,4,60,KT,261630,2025-12-26 22:01:08.435018
METAR VASD 261630Z 06004KT 3000 FU NSC 19/07 Q1016 NOSIG,4,60,KT,261630,2025-12-26 22:08:50.093137
METAR VASD 261630Z 06004KT 3000 FU NSC 19/07 Q1016 NOSIG,4,60,KT,261630,2025-12-26 22:11:09.328046
METAR VASD 261630Z 06004KT 3000 FU NSC 19/07 Q1016 NOSIG,4,60,KT,261630,2025-12-26 22:18:50.898288
METAR VASD 261630Z 06004KT 3000 FU NSC 19/07 Q1016 NOSIG,4,60,KT,261630,2025-12-26 22:21:09.981762
METAR VASD 261630Z 06004KT 3000 FU NSC 19/07 Q1016 NOSIG,4,60,KT,261630,2025-12-26 22:28:51.282165
METAR VASD 261700Z 07003KT 3000 FU NSC 18/07 Q1016 NOSIG,3,70,KT,261700,2025-12-26 22:31:10.590669
METAR VASD 261700Z 07003KT 3000 FU NSC 18/07 Q1016 NOSIG,3,70,KT,261700,2025-12-26 22:38:51.807475
METAR VASD 261700Z 07003KT 3000 FU NSC 18/07 Q1016 NOSIG,3,70,KT,261700,2025-12-26 22:41:11.245171
METAR VASD 261700Z 07003KT 3000 FU NSC 18/07 Q1016 NOSIG,3,70,KT,261700,2025-12-26 22:48:53.232029
METAR VASD 261700Z 07003KT 3000 FU NSC 18/07 Q1016 NOSIG,3,70,KT,261700,2025-12-26 22:51:12.890762
METAR VASD 261700Z 07003KT 3000 FU NSC 18/07 Q1016 NOSIG,3,70,KT,261700,2025-12-26 22:58:53.659171
METAR VASD 261700Z 07003KT 3000 FU NSC 18/07 Q1016 NOSIG,3,70,KT,261700,2025-12-26 23:01:13.825893
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-26 23:08:54.058832
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-26 23:11:14.503878
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-26 23:18:54.426285
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-26 23:21:15.116133
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-26 23:28:54.805371
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-26 23:31:18.762677
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-26 23:38:55.169023
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-26 23:41:19.621406
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-26 23:48:55.529737
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-26 23:51:32.744670
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-26 23:58:55.877299
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-27 00:01:33.368254
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-27 00:08:56.223078
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-27 00:11:34.431372
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-27 00:18:56.589545
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-27 00:21:35.094938
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-27 00:28:57.353085
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-27 00:31:35.803670
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-27 00:38:57.757908
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-27 00:41:36.942498
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-27 00:48:58.423980
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-27 00:51:37.864152
METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261730,2025-12-27 00:58:58.811102
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 01:01:38.958717
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 01:08:59.556941
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 01:11:39.926059
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 01:19:00.266232
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 01:21:41.013032
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 01:29:03.270091
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 01:31:41.976414
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 01:39:04.073908
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 01:41:43.015599
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 01:49:04.811119
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 01:51:44.262161
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 01:59:06.480677
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 02:01:45.949828
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 02:09:07.178839
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 02:11:48.463453
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 02:19:09.282569
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 02:21:49.488571
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 02:29:11.749576
202512261730 METAR VASD 261730Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG=,3,60,KT,261730,2025-12-27 02:31:50.425885
